HR07-WAKU-U,,,1,6.654,100.1550,281.4500,-138022.294,101060.669,2.966
HR07-WAKU-U,,,2,5.617,102.3510,295.0840,-138020.546,101060.485,2.928
HR07-WAKU-U,,,3,4.637,105.0640,318.2750,-138018.306,101060.54,2.943
HR07-WAKU-U,,,4,1.118,114.4630,212.2720,-138018.187,101065.394,2.983
HR07-WAKU-U,,,5,3.090,98.5620,233.0510,-138020.319,101065.347,2.972
HR07-WAKU-U,,,6,6.772,99.5630,240.0050,-138023.967,101065.071,2.983
HR07-WAKU-U,,,7,12.842,95.1350,242.4630,-138030.084,101064.61,2.981
HR07-WAKU-U,,,8,17.171,94.0050,243.3240,-138034.417,101064.281,2.95
HR07-WAKU-U,,,9,25.071,92.4220,244.1710,-138042.312,101063.67,2.969
HR07-WAKU-U,,,10,30.557,92.1710,244.1810,-138047.794,101063.391,2.933
HR07-WAKU-U,,,11,30.655,92.2120,248.3840,-138047.688,101061.075,2.892
HR07-WAKU-U,,,12,28.629,92.1200,248.5040,-138045.67,101061.229,3.053
HR07-WAKU-U,,,13,26.196,92.3850,249.2530,-138043.215,101061.279,2.942
HR07-WAKU-U,,,14,22.347,93.0840,251.0710,-138039.296,101061.161,2.926
HR07-WAKU-U,,,15,18.032,93.3900,253.5350,-138034.873,101061.028,3.004
HR07-WAKU-U,,,16,13.291,95.0350,259.1410,-138029.907,101060.862,2.979
HR07-WAKU-U,,,17,10.286,96.1800,265.2540,-138026.642,101060.75,3.023
HR07-WAKU-U,,,18,6.654,100.1550,281.4500,-138022.294,101060.669,2.966
HR07-WAKU-S1,,,19,5.149,112.5840,303.5740,-138019.488,101060.697,2.142
HR07-WAKU-S1,,,20,3.205,131.3500,234.2640,-138019.678,101065.195,2.025
HR07-WAKU-S1,,,21,4.767,115.5000,238.1200,-138021.583,101065.147,2.075
HR07-WAKU-S1,,,22,6.969,107.1150,241.1330,-138023.956,101064.93,2.092
HR07-WAKU-S1,,,23,9.799,101.5000,242.1840,-138026.889,101064.761,2.143
HR07-WAKU-S1,,,24,11.028,100.2710,242.5830,-138028.14,101064.617,2.151
HR07-WAKU-S1,,,25,11.230,100.1210,252.2950,-138028.147,101062.787,2.163
HR07-WAKU-S1,,,26,11.502,99.5320,257.5700,-138028.164,101061.687,2.177
HR07-WAKU-S1,,,27,11.736,99.3530,261.2550,-138028.176,101060.951,2.196
HR07-WAKU-S1,,,28,10.837,100.3250,263.1630,-138027.19,101060.944,2.168
HR07-WAKU-S1,,,29,7.228,106.1030,277.0310,-138022.944,101060.862,2.138
HR07-WAKU-S1,,,30,5.731,110.5100,294.1750,-138020.535,101060.634,2.112
HR07-WAKU-S1,,,31,5.149,112.5840,303.5740,-138019.488,101060.697,2.142
