P102U,SAMPLE,,1,,,,102.941,100.005,99.975
P102U,SAMPLE,,2,4.820,104.5320,31.0040,103.992,102.4,99.935
P102U,SAMPLE,,3,4.690,105.1000,30.5500,103.883,102.326,99.946
P102U,SAMPLE,,4,4.605,105.3020,32.1630,103.752,102.369,99.942
P102U,SAMPLE,,5,4.656,105.1810,33.5850,103.724,102.51,99.944
P102U,SAMPLE,,6,4.775,105.0150,34.3430,103.797,102.617,99.935
P102U,SAMPLE,,7,4.919,104.3740,33.2550,103.972,102.622,99.931
P102U,SAMPLE,,8,,,,102.941,100.005,99.975
P103U,SAMPLE,,9,5.429,103.0650,41.5310,103.936,103.53,99.941
P103U,SAMPLE,,10,5.349,103.1820,41.3220,103.896,103.452,99.942
P103U,SAMPLE,,11,5.267,103.3050,41.5710,103.809,103.424,99.942
P103U,SAMPLE,,12,5.269,103.2850,43.0330,103.744,103.498,99.945
P103U,SAMPLE,,13,5.327,103.1850,43.3730,103.752,103.577,99.946
P103U,SAMPLE,,14,5.411,103.0750,43.2640,103.826,103.624,99.944
P103U,SAMPLE,,15,5.457,102.5900,42.3730,103.913,103.601,99.947
P103U,SAMPLE,,16,5.429,103.0650,41.5310,103.936,103.53,99.941
WAKE01U,SAMPLE,,17,13.311,96.0230,44.2130,109.464,109.255,99.772
WAKE01U,SAMPLE,,18,10.599,97.4600,60.3720,105.152,109.151,99.741
WAKU02U,SAMPLE,,19,7.720,98.5020,359.4130,107.628,99.959,99.987
WAKU02U,SAMPLE,,20,7.805,98.4000,354.4800,107.684,99.301,99.997
WAKU02U,SAMPLE,,21,1.714,133.5000,273.0740,100.067,98.765,99.986
NOP-KABE01U,SAMPLE,,22,8.775,80.1850,108.1140,97.299,108.217,102.849
NOP-KABE01U,SAMPLE,,23,9.472,81.0900,119.0830,95.442,108.175,102.83
NOP-KABE02U,SAMPLE,,24,8.783,80.3420,139.1350,93.438,105.658,102.812
NOP-KABE02U,SAMPLE,,25,6.419,76.4840,190.4750,93.861,98.829,102.838
*,
