4-K3,,,,-63023.448,85149.777,8.865,2016/07/11,,,,
2-N01,,,,-62697.462,85759.049,4.687,2016/07/11,,,,
2-N02,,,,-63000.945,85231.191,8.028,2016/07/11,,,,
BT3,,,,-63209.567,85171.826,8.107,2016/07/11,,,,
BT4,,,,-63188.21,85183.802,8.485,2016/07/11,,,,
BT5,,,,-63160.968,85187.765,9.174,2016/07/11,,,,
BT6,,,,-63098.711,85191.666,8.64,2016/07/11,,,,
MT1,,,,-63154.878,85172.55,10.217,2016/07/11,,,,
MT2,,,,-63125.093,85175.938,9.388,2016/07/11,,,,
MT3,,,,-63195.098,85141.997,7.936,2016/07/11,,,,
MT4,,,,-63189.705,85124.864,8.022,2016/07/11,,,,
MT5,,,,-63198.673,85106.576,7.771,2016/07/11,,,,
MT6,,,,-63209.701,85150.036,8.051,2016/07/11,,,,
MT7,,,,-63185.41,85145.112,8.493,2016/07/11,,,,
