ID,Chiku,遺跡番号,調査番号,遺物番号,No,S,V,H,X,Y,Z,Date,Pen,Size,Mark,FileLink,Soui,Syubetu,拡張表示使用,拡張線幅,拡張線色,拡張点色,レイヤー名,MARKERX,MARKERY,LAYERPAGE,INVISIBLE,DELETEFLG,HANDFLG,器械点,バック点,器械高,ミラー高,メディア
43,SD215A,,,,,,,,-137199.362,102122.162,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
44,SD215A',,,,,,,,-137198.933,102122.461,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
45,SD217A,,,,,,,,-137203.187,102132.071,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
46,SD217A',,,,,,,,-137202.561,102132.396,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
47,SD222A,,,,,,,,-137195.197,102082.423,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
48,SD222A',,,,,,,,-137195.145,102082.805,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
49,SD224A,,,,,,,,-137190.386,102089.345,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
50,SD224A',,,,,,,,-137190.923,102088.700,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
51,SD225A,,,,,,,,-137164.869,102100.060,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
52,SD225A',,,,,,,,-137162.040,102101.317,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
53,SD226A,,,,,,,,-137206.373,102082.990,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
54,SD226A',,,,,,,,-137205.910,102083.695,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
55,SD227A,,,,,,,,-137194.994,102089.681,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
56,SD227A',,,,,,,,-137195.361,102090.127,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
57,SD228A,,,,,,,,-137186.064,102082.422,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
58,SD228A',,,,,,,,-137185.512,102082.832,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
59,SD229A,,,,,,,,-137176.362,102097.180,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
60,SD229A',,,,,,,,-137174.138,102094.724,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
61,SD231A,,,,,,,,-137193.391,102088.520,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
62,SD231A',,,,,,,,-137194.387,102088.856,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
63,SD232A,,,,,,,,-137205.153,102132.123,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
64,SD232A',,,,,,,,-137203.679,102132.753,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
65,SD601A,,,,,,,,-137174.410,102120.191,2.465,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
66,SD601A',,,,,,,,-137175.178,102119.796,2.533,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
